573	522	526	522	517	0	0
167	165	169	177	180	0	0
1066	1044	1025	1029	1000	0	0
257	274	265	283	307	0	0
211	195	191	188	186	0	0
141	157	157	156	154	0	0
808	816	832	835	847	0	0
190	187	185	183	181	0	0
401	403	392	389	391	0	0
337	302	304	296	297	0	0
250	233	228	225	216	0	0
281	268	264	256	250	0	0
170	151	159	172	178	0	0
139	156	150	147	142	0	0
158	159	160	155	150	0	0
219	175	154	152	158	0	0
244	219	211	205	195	0	0
201	191	188	184	179	0	0
242	236	229	222	213	0	0
358	322	311	312	306	0	0
212	194	190	189	182	0	0
200	200	200	200	200	0	0
200	200	200	200	200	0	0
194	174	176	176	176	0	0
206	205	202	198	189	0	0
288	267	250	237	228	0	0
200	200	200	200	200	0	0
1689	1648	1607	1566	1525	0	0
246	193	195	197	197	0	0
350	327	326	320	320	0	0
219	241	254	264	275	0	0
354	302	290	282	267	0	0
524	566	590	590	562	0	0
144	146	142	146	149	0	0
200	200	200	200	200	0	0
